"subj","sex","age","period","group","mat_rank","groupmates","num_mat_kin","fai","rain","PC1","PC2","PC3","time_moving","time_groom_groomed","time_groom","time_groomed","time_playing","prop_gm_kin","prop_gm_nonkin","dfgc","cp"
"dubl","M",6.98973305954825,"p4","tws",0.957,53,3,56043211.3340276,1.9271186440678,-2.47634274935609,0.737441745202886,0.0753893012451138,16.8181818181818,1.81818181818182,1.21212121212121,0.606060606060606,9.09090909090909,1.21212121212121,0,41.4676470588235,0.232400581371604
"fris","M",6.51060917180014,"p1","tws",0.625,55,2,10523384.2534722,7.9016393442623,0.27625352465801,3.32263378475131,1.51244129735022,15,3.57142857142857,2.85714285714286,0.714285714285714,0.476190476190476,0.714285714285714,2.85714285714286,-91.0357142857143,-0.250150248578814
"fris","M",6.6776180698152,"p2","tws",0.625,55,2,70500030.8786388,8.70491803278689,-0.0148805830937926,0.959703780167225,0.94894654786601,14.6774193548387,1.7741935483871,1.12903225806452,0.645161290322581,0.806451612903226,0,1.12903225806452,34.4892857142858,0.326307811841377
"fris","M",6.84462696783025,"p3","tws",0.625,54,2,237846630.790277,4.37741935483871,-1.93188678287393,1.02853130013905,1.05672757032167,17.9401993355482,0.664451827242525,0.166112956810631,0.498338870431894,4.48504983388704,0,0.166112956810631,-133.310714285714,0.218334620365158
"fris","M",7.00889801505818,"p4","tws",0.625,53,2,56043211.3340276,1.9271186440678,-0.523979729280367,1.15280540489084,0.88927024180174,14.0909090909091,2.42424242424242,0.909090909090909,1.51515151515152,1.66666666666667,0,0.909090909090909,144.339285714286,0.208333508418632
"kabu","F",2.3709787816564,"p1","twn",0.455,29,5,3512770.18541667,7.9016393442623,0.669729353009115,-0.93642515146329,0.800267207071074,19.375,2.08333333333333,0.625,1.45833333333333,0,0,0.625,87.4200000000001,NA
"kabu","F",2.53798767967146,"p2","twn",0.455,29,5,62577136.4432916,8.70491803278689,-0.00895394752586691,-1.26535565072992,0.192851571400033,20.7119741100324,3.07443365695793,0.970873786407767,2.10355987055016,0.485436893203883,0.323624595469256,0.647249190938511,606.453333333333,-0.461103352973872
"kabu","F",2.70499657768652,"p3","twn",0.455,29,5,187855194.336458,4.37741935483871,0.150343227518592,-1.82928733295945,0.364023325796577,22.0367278797997,2.00333889816361,0.834724540901502,1.1686143572621,0.333889816360601,0.333889816360601,0.500834724540901,-490.846666666667,0.325629823781776
"kabu","F",2.86926762491444,"p4","twn",0.455,29,5,53437630.8114583,1.9271186440678,-0.702401496966748,-1.59562246124601,-0.193037004101147,16.6666666666667,3.63636363636364,0.606060606060606,3.03030303030303,0.909090909090909,0.606060606060606,0,-181.171666666667,-0.02277883771303
"keny","M",5.56331279945243,"p1","twn",0.455,29,5,3512770.18541667,7.9016393442623,-2.54997106437032,0.0691662280187697,-1.62856189031261,12.6,2.6,1.2,1.4,4.8,1.2,0,262.108823529412,-0.335706950920552
"keny","M",5.73032169746749,"p2","twn",0.455,29,5,62577136.4432916,8.70491803278689,-1.98125453560611,-0.374482378379731,-0.991024086262639,20.5,1,0.5,0.5,4.33333333333333,0,0.5,67.4838235294117,-0.175970545602781
"keny","M",5.89733059548255,"p3","twn",0.455,29,5,187855194.336458,4.37741935483871,-1.62057531679384,-1.14792577145086,0.0271220600707693,15.9468438538206,1.99335548172757,0.332225913621262,1.66112956810631,4.31893687707641,0.332225913621262,0,-247.716176470588,0.303012372967506
"keny","M",6.06160164271047,"p4","twn",0.455,29,5,53437630.8114583,1.9271186440678,-1.32885196778587,-0.101254775486389,-0.408693924882045,15,4.09090909090909,1.81818181818182,2.27272727272727,4.24242424242424,0.151515151515152,1.66666666666667,-65.5011764705883,-0.359478374972345
"king","M",3.83025325119781,"p1","twn",0.364,29,5,3512770.18541667,7.9016393442623,-0.716769046694268,-0.545379615272252,-1.61226743880082,18.125,4.58333333333333,1.66666666666667,2.91666666666667,0.208333333333333,0.625,1.04166666666667,11.1928571428571,-0.754405734288977
"king","M",3.99726214921287,"p2","twn",0.364,29,5,62577136.4432916,8.70491803278689,-4.90278266269961,1.1941602234523,-4.25318326765674,18.0645161290323,0.645161290322581,0.645161290322581,0,18.0645161290323,0.645161290322581,0,-209.207142857143,-0.530640632250779
"king","M",4.16427104722793,"p3","twn",0.364,29,5,187855194.336458,4.37741935483871,-3.03478724026135,-1.81581182904869,-0.460650607419757,15.8597662771285,0,0,0,5.00834724540902,0,0,-216.857142857143,0.254477798442083
"king","M",4.32854209445585,"p4","twn",0.364,29,5,53437630.8114583,1.9271186440678,-1.7207685572067,-1.19728308995191,-0.865091764117526,17.2465960665658,2.42057488653555,0.75642965204236,1.66414523449319,4.38729198184569,0.75642965204236,0,338.612857142857,-0.631462008882724
"mayh","F",5.46748802190281,"p1","gn",0.789,46,13,3671093.21778846,7.9016393442623,2.5578351204591,1.08308115259359,1.85882106246141,16.6666666666667,6.45833333333333,4.375,2.08333333333333,0,2.70833333333333,2.70833333333333,14.1083333333333,NA
"mayh","F",5.63449691991786,"p2","gn",0.789,46,13,61750456.8108974,8.70491803278689,2.80983044369813,-0.657938364382886,-0.510200631635641,15.1612903225806,10.8064516129032,4.83870967741935,5.96774193548387,0,2.41935483870968,2.41935483870968,336.708333333333,0.508395365541947
"mayh","F",5.80150581793292,"p3","gn",0.789,45,13,215585523.947596,4.37741935483871,1.75214018615362,-0.566926284355534,-0.367835719301761,17.195325542571,6.01001669449082,3.33889816360601,2.67111853088481,0,1.83639398998331,1.1686143572621,-256.616666666667,-0.0419788612724896
"mayh","F",5.96577686516085,"p4","gn",0.789,44,12,21231305.5269231,1.9271186440678,3.19651542306405,2.63983984207983,0.639979330983269,19.1489361702128,12.4620060790274,7.75075987841945,4.7112462006079,1.06382978723404,4.25531914893617,3.49544072948328,0.558333333333394,-0.697854352904659
"mend","F",5.57426420260096,"p1","gn",0.737,46,8,3671093.21778846,7.9016393442623,1.58370253609699,0.188372136767902,0.563752684580195,15.4166666666667,5.20833333333333,4.79166666666667,0.416666666666667,0.625,0.208333333333333,4.58333333333333,168.020512820513,-1.03457049942846
"mend","F",5.74127310061602,"p2","gn",0.737,46,8,61750456.8108974,8.70491803278689,1.89686200380799,-1.53746941395002,-0.833614639266472,19.2488262910798,9.38967136150235,4.22535211267606,5.16431924882629,0,1.56494522691706,2.660406885759,434.38717948718,1.24297507618275
"mend","F",5.90828199863107,"p3","gn",0.737,45,8,215585523.947596,4.37741935483871,0.883955949408086,-0.376306432858238,-0.379864960022741,21.5,4.16666666666667,1.66666666666667,2.5,0.666666666666667,0.166666666666667,1.33333333333333,-376.11282051282,0.978565513394085
"mend","F",6.072553045859,"p4","gn",0.737,44,8,21231305.5269231,1.9271186440678,2.54384882974829,2.37743035637854,0.163664244767466,22.1212121212121,4.39393939393939,3.63636363636364,0.757575757575758,0,0.909090909090909,2.72727272727273,-169.721153846154,-0.117629204991929
